Product Name,Quantity,Retail Price,Received,Profit,Amazon Link,Ebay Link
"3 Pack Fire Stick Remote Cover, Silicone Remote Case for 2021 Fire TV Stick 4K/Alexa Voice Remote 3rd Gen, Anti Slip Silicone Protective Case with Lanyard(Glow Blue & Glow Green & Red)",1,8.64,12.42,1.92,https://www.amazon.com/dp/B09SG3PNLV?tag=dcaft-20,https://www.ebay.com/itm/355450041589
"Brake Fluid Reservoir Cover Sock for Motorcycles, Sporbikes and Gifts by Moto Loot (Send Nudes)",1,10.79,14.43,1.48,https://www.amazon.com/Brake-Fluid-Reservoir-Motorcycles-Sporbikes/dp/B09XQL8DVG?tag=dcaft-20,https://www.ebay.com/itm/355460450134
SWAN Castor Oil USP 100% Stimulant Laxative 4 FL OZ - For Relief of occasional Constipation,1,5.9,8.49,1.32,https://www.amazon.com/dp/B09XLY69DV?tag=dcaft-20,https://www.ebay.com/itm/315057565999
"Rust-Oleum 7592838 Professional High Performance Enamel Spray Paint, 15 Oz, Gloss White",1,9.98,14.08,1.99,https://www.amazon.com/Rust-Oleum-7592838-Professional-High-Performance-Enamel-Spray-Paint-15-Oz-Glos/dp/B00106EDPQ?tag=dcaft-20,https://www.ebay.com/itm/355317333184
BENECREAT 78x12 Inch Self Adhesive Foam Roll 2mm Thick Dark Gray EVA Foam Sheets with Adhesive Backing for Art Crafts Supplies Halloween Cosplay Scrapbooking,1,14.71,20.86,3.02,https://www.amazon.com/Benecreat-78X12-Inch-Self-Adhesive-Foam-Roll-2Mm-Thick-Dark-Gray-Eva-Foam-Sheets/dp/B09M77V1HM?tag=dcaft-20,https://www.ebay.com/itm/364232450079
CPAP Mask Wipes (Lite Citrus) - 3 packs of 62 wipes,1,20.56,25.75,1.33,https://www.amazon.com/Patient-Sleep-Supplies-Wipes-Citrus/dp/B01N4LG5AY?tag=dcaft-20,https://www.ebay.com/itm/296244963519
2 Pcs Baby Brine Shrimp Net Brine Shrimp Sieve Fish Net Aquarium 80 Mesh 200 Mesh Sieve for Filter Brine Shrimp Hatchery Fry Brine Shrimp Eggs for Hatching Baby Fish Separator,1,8.96,11.99,1.23,https://www.amazon.com/dp/B0BGS9VNDV?tag=dcaft-20,https://www.ebay.com/itm/225979148325
"Dr Christopher's Formula Dr Christopher's Formula Herbal Thyroid, 100 Count",1,9,12.82,1.9,https://www.amazon.com/Dr-Christophers-Formula-Dr-Christophers-Formula-Herbal-Thyroid-100-Count/dp/B000BNVE7O?tag=dcaft-20,https://www.ebay.com/itm/375320885557
"Auto Ventshade [AVS]Bugflector / Hood Shield | 88-99 Chevy/GMC C1500,K1500, 88-00 C2500/3500,K2500-K3500, 92-99 Subr, 92-94 Blazer, 92-99 Yukn, 95-99 Tahoe, Medium Profile - Smoke, 1 pc. | 23024",2,126.58,159.98,9.4,https://www.amazon.com/Auto-Ventshade-Avsbugflector-Hood-Shield-88-99-Chevygmc-C1500K1500-88-0/dp/B0001EXBOW?tag=dcaft-20,https://www.ebay.com/itm/404703991673
Zippo 4 oz. Lighter Fluid,1,3.74,5.71,1.11,https://www.amazon.com/Zippo-4-oz-Lighter-Fluid/dp/B002GGW2BQ?tag=dcaft-20,https://www.ebay.com/itm/296192304284
"Otis Technology IP-904-A-55 Dry Lube, 4 oz Aerosol",1,10.59,14.1,1.4,https://www.amazon.com/Otis-Technology-Ip-904-A-55-Dry-Lube-4-Oz-Aerosol/dp/B01IN83VOW?tag=dcaft-20,https://www.ebay.com/itm/296289985948
Evermotor Stick-on Rectangular reflectors Red Safety Reflector 6.53 inch Motorcycle Stickers Reflective Strips for Mailbox Golf Cart Trailer Driveway Door Moped(4 Pieces),1,9.52,12.81,1.37,https://www.amazon.com/dp/B0C23VTFNX?tag=dcaft-20,https://www.ebay.com/itm/315046366006
"PC Products PC-7 Epoxy Adhesive Paste, Two-Part Heavy Duty, 1/2lb in Two Cans, Charcoal Gray 87770",1,11.83,16.15,1.9,https://www.amazon.com/dp/B000AB4A8M?tag=dcaft-20,https://www.ebay.com/itm/334897734182
"Pampers Baby Clean Wipes, Baby Fresh Scented, 1 Flip-Top Pack (72 Wipes Total)",1,2.65,4.69,1.34,https://www.amazon.com/dp/B07KGL6L56?tag=dcaft-20,https://www.ebay.com/itm/156145992405
Didache: The Teaching of the Twelve Apostles,1,1.97,3.54,1.04,https://www.amazon.com/Didache-Teaching-Fr-Mark-Bylander/dp/0764825771?tag=dcaft-20,https://www.ebay.com/itm/404632933084
"D'Addario Guitar Strings - Acoustic Guitar Strings - 80/20 Bronze - For 6 String Guitar - Deep, Bright, Projecting Tone - EJ10 - Extra Light, 10-47",2,10.78,15.86,2.7,https://www.amazon.com/Daddario-Guitar-Strings-Acoustic-Guitar-Strings-8020-Bronze-For-6-String/dp/B0002H0FMO?tag=dcaft-20,https://www.ebay.com/itm/126330359715
